Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
KinderCare Learning Center #000551,,,,5dfaa4f2e79c695b3b30de51,Chris Haas,1228 W. Ogden Ave.,Naperville,IL,60563,US,000551@kindercare.com,630-961-9400,www.kindercare.com/,10/9/2018,10/9/2020,10/6/2016,10/6/2020,DuPage,128,5,11,M-F,6:30 - 6:00,Accredited Program,,accredited_program,5-Dec-08
KinderCare Learning Center #302002,,,,5dfaa4f2e79c695b3b30de52,Chris Poppendorf,7676 Old Harding Pike,Nashville,TN,37221,US,302002@kindercare.com;cpoppendorf@kindercare.com,615-662-1362,,8/7/2018,8/7/2020,7/8/2019,7/8/2020,Davidson,297,14,28,M-F,6:30 - 6:00,Accredited Program,,accredited_program,13-Jan-05
KinderCare Learning Center #301290,,,,5dfaa4f2e79c695b3b30de53,Christa Hicks,2524 S. Parsons Ave.,Seffner,FL,33584,US,301290@klcorp.com;seffner@kindercare.com,813-654-6492,kindercare.com,5/30/2019,5/30/2021,6/6/2017,6/6/2021,Hillsborough,135,7,14,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
La Petite Academy #7689,,,,5dfaa4f2e79c695b3b30de54,Christal Samuels,2700 Bobcat Village Center Road,North Port,FL,34288,US,7689@lapetite.com,941-423-8844,,6/6/2018,6/6/2020,10/25/2019,10/25/2020,Sarasota,363,25,48,M-F,7:00 - 5:30,Accredited Program,,accredited_program,7-Jan-09
Children Inc. Early Learning Center at Erlanger Elsmere Schools,,,,5dfaa4f2e79c695b3b30de55,Christen Smith,450 Bartlett Ave.,Erlanger,KY,41018,US,csmith@childreninc.org,859-261-2181,,2/7/2018,2/7/2020,2/19/2016,6/5/2020,Kenton,145,4,20,,6:30-7:00,Accredited Program,,accredited_program,25-Jan-08
"America's Angels, Inc.",,,,5dfaa4f2e79c695b3b30de56,Christi Wadsworth,2362 E. Norvell Bryant Hwy.,Hernando,FL,34442,US,cwadsworth4@tampabay.rr.com,352-637-1005,,8/22/2017,8/22/2019,2/25/2019,2/25/2023,Citrus,64,5,9,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Dec-04
KinderCare Learning Center #000150,,,,5dfaa4f2e79c695b3b30de57,Christina Bloomfield,4500 Cornell Road,Blue Ash,OH,45241,US,000150@kindercare.com,513-489-5353,www.kindercare.com/,3/29/2018,3/29/2020,11/22/2019,11/22/2023,Hamilton,136,8,16,M-F,6:00 - 6:00,Accredited Program,,accredited_program,12-Mar-08
KinderCare Learning Center #300924,,,,5dfaa4f2e79c695b3b30de58,Christina Brown,150 John Casey Road,Bourbonnais,IL,60914,US,300924@kindercare.com;chrbrown@kindercare.com,815-935-2110,www.kindercare.com/,1/9/2018,1/9/2020,1/11/2016,1/11/2020,Kankakee,116,7,18,M-F,6:00 - 6:15,Accredited Program,,accredited_program,6-Dec-04
Acelero Learning - Green Tree,,,,5dfaa4f2e79c695b3b30de5a,Christina Davis,3744 W. Green Tree Road,Milwaukee,WI,53209,US,cdavis1@acelero.net;bkilimann@acelero.net,414-228-8193,www.acelero.net,7/2/2018,7/2/2020,11/16/2015,2/29/2020,Milwaukee,16,3,10,M-F,8:00 - 4:00,Accredited Program,,accredited_program,5-Feb-14
Acelero Learning - Teutonia,,,,5dfaa4f2e79c695b3b30de5b,Christina Davis,5719 N. Teutonia Ave.,Milwaukee,WI,53209,US,cdavis1@acelero.net;bkilimann@acelero.net,414-226-5594,www.acelero.net,5/22/2017,5/22/2019,5/18/2015,2/29/2020,Milwaukee,116,6,11,M-F,7:00 - 5:30,Accredited Program,,accredited_program,6-Feb-14
Our Little World Preschool,,,,5dfaa4f2e79c695b3b30de5c,Christina Fuda and Suzanne Hilton,1603 Castlerock Lane,Port Charlotte,FL,33948,US,state11568@aol.com;christinafuda16@gmail.com,941-255-5442,ourlittleworldpreschoolfl.com/,11/22/2017,11/22/2019,10/31/2019,10/31/2023,Charlotte,76,5,10,M-F,7:00 - 5:30,Accredited Program,,accredited_program,23-Apr-03
Achievement Center,,,,5dfaa4f2e79c695b3b30de5d,Christina Holloway,4601 E. Busch Blvd.,Tampa,FL,33617,US,achievementcentertampa@yahoo.com,813-988-1999,,1/22/2019,1/22/2021,1/20/2017,1/20/2021,Hilllsborough,139,7,15,M-F,6:30-6:00 pm,Accredited Program,,accredited_program,10-Feb-16
City of Tempe/ Kid Zone Enrichment Program,,,,5dfaa4f2e79c695b3b30de5e,Christina Rozner,625 W. Cornell Drive,Tempe,AZ,85283,US,christina_rozner@tempe.gov,480-897-7906,www.tempe.gov/kidzone,10/13/2014,10/13/2016,4/7/2016,4/7/2020,Maricopa,124,4,13,M-F,7:00 - 5:30,Accredited Program,,accredited_program,25-Aug-09
KinderCare Learning Center #301241,,,,5dfaa4f2e79c695b3b30de5f,Christina Walls,5757 Shannon Heights Blvd.,Dublin,OH,43016,US,301241@klcorp.com,614-764-0301,www.kindercare.com/,1/27/2017,1/27/2019,5/2/2019,5/2/2023,Franklin,113,7,10,M-F,6:30 - 6:00,Accredited Program,,accredited_program,23-Jan-04
Academy to Success,,,,5dfaa4f3e79c695b3b30de60,Christine Hutchinson,3203 W. DeLeon St.,Tampa,FL,33609,US,chris1328@verizon.net,813-874-5474,,2/1/2018,2/1/2020,2/3/2016,2/3/2020,Hillsborough,123,6,10,M-F,6:30 - 6:00,Accredited Program,,accredited_program,19-Dec-06
Divine Generation Daycare,,,,5dfaa4f3e79c695b3b30de61,Christine James,1510 W. Polo Road,Grand Prairie,TX,75052,US,divinegenerationdaycare@gmail.com,214-412-2453,www.divinegernationdaycare.com,9/7/2017,9/7/2019,6/26/2019,6/26/2023,Dallas,105,5,7,M-F,6:00 - 6:30,Accredited Program,,accredited_program,7-Sep-17
Northside Y Early Childhood Education Center,,,,5dfaa4f3e79c695b3b30de62,Christine Larson and Noreen Collins,1350 W. North Ave.,Milwaukee,WI,53205,US,clarson@ymcamke.org;ncollins@ymcamke.org,414-374-9452,www.ymcamke.org,3/27/2017,3/27/2019,2/6/2019,2/6/2023,Milwaukee,164,9,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,25-Feb-10
Northwest Y Early Childhood Edu Ctr.,,,,5dfaa4f3e79c695b3b30de63,Christine Larson Salerno,9050 N. Swan Road,Milwaukee,WI,53224,US,clarson@ymcamke.org,414-357-1901,www.ymcamke.org,7/28/2016,7/28/2018,3/21/2018,3/21/2022,Milwaukee,90,8,20,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Sep-06
All About Learning - Menomonee Falls,,,,5dfaa4f3e79c695b3b30de64,Christine Lucas,N56 W16325 Silver Spring Drive,Menomonee Falls,WI,53051,US,silverspring@aalchildcare.com,262-252-9200,aalchildcare.com/menomoneefalls.html,2/10/2017,2/10/2019,1/15/2019,1/15/2023,Waukesha,140,14,23,M-F,6:15 - 6:15,Accredited Program,,accredited_program,17-Jan-03
KinderCare Learning Center #301037,,,,5dfaa4f3e79c695b3b30de65,Christy Rieben,1990 Main St.,Dunedin,FL,34698,US,301037@klcorp.com,727-733-7308,www.kindercare.com/,6/19/2019,6/19/2021,7/24/2017,7/24/2021,Pinellas,102,6,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Foundations Academy,,,,5dfaa4f3e79c695b3b30de66,Christy Williams,20817 Westheimer Pkwy.,Katy,TX,77450,US,christy@foundations-academy.com,281-599-1200,www.foundations-academy.com,6/8/2018,6/8/2020,7/5/2016,7/5/2020,Harris,191,8,26,M-F,6:30-6:30,Accredited Program,,accredited_program,28-Oct-11
Puffin Montessori School,,,,5dfaa4f3e79c695b3b30de67,Cindi Kennedy,"19801 Hampton Drive, Ste. 5",Boca Raton,FL,33434,US,cindi@puffinschool.com,561-235-5890,,11/22/2019,11/22/2021,11/22/2017,11/22/2021,Palm Beach,113,4,6,M-F,7:00 - 6:00,Accredited Program,,accredited_program,18-Mar-15
In A Kid's World,,,,5dfaa4f3e79c695b3b30de68,Cindy Mahr,1732 18th Ave.,Rock Island,IL,61201,US,cindy.mahr921@gmail.com,309-786-0583,,4/25/2017,4/25/2019,1/25/2019,1/25/2023,Rock Island,101,6,12,M-F,6:00 - 5:30,Accredited Program,,accredited_program,25-Aug-05
In A Kid's World,,,,5e28a5c1bf9c5a779c489e65,,1732 18th Avenue,Rock Island,IL,61201,US,jenree629@gmail.com,(309) 786-0583,,,,,,,,,,,,,,,
"Doorway To Learning Enrichment Center, Inc.",,,,5dfaa4f3e79c695b3b30de69,Cindy McGill,1070 Emerson Drive NE,Palm Bay,FL,32907,US,doorwaypreschool@bellsouth.net,321-725-1166,,9/14/2017,9/14/2019,5/21/2019,5/21/2023,Brevard,127,6,11,M-F,6:00 - 6:30,Accredited Program,,accredited_program,21-Jul-06
Park Place Children's Center,,,,5dfaa4f3e79c695b3b30de6a,Cindy Weathers,205 Batesville Road,Simpsonville,SC,29681,US,cindy@parkplacechild.com,864-270-5910,www.parkplacechild.com,11/29/2018,11/29/2020,11/30/2016,11/30/2020,Greenville,244,20,42,M-F,7:00 - 6:00,Accredited Program,,accredited_program,9-Nov-10
KinderCare Learning Center #300501,,,,5dfaa4f3e79c695b3b30de6b,Cindy Wingate,5750 Farm Pond Lane,Charlotte,NC,28212,US,300501@kindercare.com,704-568-2419,www.kindercare.com/,12/19/2019,12/19/2021,12/20/2017,12/20/2021,Mecklenburg,99,7,9,M-F,6:30 - 6:30,Accredited Program,,accredited_program,
KinderCare Learning Center #301049,,,,5dfaa4f3e79c695b3b30de6c,Clara Rodriguez,22129 Kingsland Blvd.,Katy,TX,77450,US,301049@klcorp.com;clrodriguez@kindercare.com,281-392-6770,www.kindercare.com/,8/11/2016,8/11/2018,4/5/2018,4/5/2022,Harris,133,7,14,M-F,6:00 - 6:30,Accredited Program,,accredited_program,15-Mar-13
First Presbyterian Preschool,,,,5dfaa4f3e79c695b3b30de6d,Clare Carter,2050 Oak St.,Sarasota,FL,34237,US,preschool@firstpressarasota.org,941-366-2000,,7/1/2019,7/1/2021,6/12/2017,6/12/2021,Sarasota,65,8,15,M-F,8:30 - 3:00,Accredited Program,,accredited_program,14-May-10
Kids Country Hartvilles,,,,5dfaa4f3e79c695b3b30de6e,Clare Perry,126 Washington St.,Hartville,OH,44632,US,clare_perry@kidscountry.com,330-877-2600,kidscountry.com,5/11/2018,5/11/2020,5/9/2016,5/9/2020,Stark,137,9,25,M-F,6:30 - 6:30,Accredited Program,,accredited_program,27-Aug-07
Claudi's Kids Inc.,,,,5dfaa4f3e79c695b3b30de6f,Claudia Miller,3131 E. Washington Ave.,Madison,WI,53704,US,claudiskids@yahoo.com,608-243-7854,,12/12/2017,12/12/2019,12/18/2015,4/30/2020,Dane,68,5,9,M-F,6:30 - 6:30,Accredited Program,,accredited_program,10-Oct-14
Kids Country Medina,,,,5dfaa4f3e79c695b3b30de70,Collette Thomas,3550 Octagon Drive,Medina,OH,44256,US,collette_thomas@kidscountry.com,330-723-8697,www.kidscountry.com,7/2/2018,7/2/2020,6/2/2016,6/2/2020,Medina,197,8,28,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Aug-07
KinderCare Learning Center #300552,,,,5dfaa4f3e79c695b3b30de71,Conner Wyatt,10695 Loveland-Madeira Road,Loveland,OH,45140,US,300552@kindercare.com,513-683-2641,www.kindercare.com/,11/10/2019,11/10/2021,11/10/2017,11/10/2021,Hamilton,109,6,12,M-F,6:30 - 6:15,Accredited Program,,accredited_program,16-Jan-09
KinderCare Learning Center #300877,,,,5dfaa4f3e79c695b3b30de72,Connie Jordan,7061 Wayside Drive,Mentor,OH,44060,US,300877@klcorp.com,440-352-0545,www.kindercare.com/,11/7/2019,11/7/2021,11/20/2017,11/20/2021,Lake,98,6,14,M-F,6:00 - 6:00,Accredited Program,,accredited_program,10-Nov-08
KinderCare Learning Center #301071,,,,5dfaa4f3e79c695b3b30de73,Connie Smith,9500 Monroe Road,Charlotte,NC,28270,US,301071@klcorp.com,704-847-2542,www.kindercare.com/,7/17/2017,7/17/2019,6/10/2019,6/10/2023,Mecklenburg,132,6,12,M-F,6:30 - 6:30,Accredited Program,,accredited_program,
Small World II Preschool,,,,5dfaa4f3e79c695b3b30de74,Constance Fisher,8720 E. Speedway Blvd.,Tucson,AZ,85710,US,dnjedus@gmail.com;smallworld2@dnjeducational.com,520-296-0020,www.dnjeducation.com,8/22/2018,8/22/2020,6/30/2016,6/30/2020,Pima,87,4,6,M-F,6:00 - 7:00,Accredited Program,,accredited_program,7-Nov-05
KinderCare Learning Center #301291,,,,5dfaa4f3e79c695b3b30de75,Corey Getson,9325 Leesville Road,Raleigh,NC,27613,US,cgetson@kindercare.com,919-848-8960,www.kindercare.com/,1/12/2018,1/12/2020,11/9/2019,11/9/2023,Wake,120,5,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Nov-04
Lil Kings & Queens Academy Inc. & Lil Kings & Queens Academy II,,,,5dfaa4f3e79c695b3b30de76,Corretta Slydell,1116 13th Street and 1115 13th Street,West Palm Beach,FL,33401,US,corretta7@yahoo.com,561-832-8009,,5/27/2014,5/27/2016,1/18/2016,1/18/2020,Palm Beach,50,4,6,M-F,7:00 - 6:00,Accredited Program,,accredited_program,29-Nov-09
KinderCare Learning Center #301365,,,,5dfaa4f3e79c695b3b30de77,Courtney Espinosa,1063 E. McKellips Road,Mesa,AZ,85203,US,301365@klcorp.com;mckellips@kindercare.com,480-835-6086,www.kindercare.com/,2/20/2018,2/20/2020,3/22/2016,3/22/2020,Maricopa,149,6,16,M-F,6:00 - 6:00,Accredited Program,,accredited_program,1-Dec-03
"Jewish Early Childhood Center, Inc.",,,,5dfaa4f3e79c695b3b30de78,Courtney Plager,10655 El Clair Ranch Road,Boynton Beach,FL,33437,US,director@beitblumi.com,561-742-1083,www.jewishearlychildhoodcenter.com,1/13/2016,1/13/2018,8/2/2018,8/2/2022,Palm Beach,50,4,9,M-F,5-Aug,Accredited Program,,accredited_program,13-Jan-16
KinderCare Learning Center #300814,,,,5dfaa4f3e79c695b3b30de79,Courtney St. Hilaire,200 Forest Drive,Knightdale,NC,27545,US,300814@klcorp.com,919-266-4166,www.kindercare.com/,2/15/2018,2/15/2020,2/16/2016,2/16/2020,Wake,133,8,16,M-F,6-:00-6:00,Accredited Program,,accredited_program,
KinderCare Learning Center #300977,,,,5dfaa4f4e79c695b3b30de7a,Courtney Walker,401 S. Mustang Road,Yukon,OK,73099,US,300977@klcorp.com;cwalker@kindercare.com,405-324-2500,www.kindercare.com/,5/13/2017,5/13/2019,8/8/2019,8/8/2023,Canadian,142,9,18,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Dec-04
Beatriz Ferguson,,,,5dfaa4f4e79c695b3b30de7b,Children of the World Preschool,1801 62nd Ave. N.,St. Petersburg,FL,33702,US,directorcwp@umcmsuncoast.org,727-526-0017,www.umcmsuncoast.org,6/22/2015,6/22/2017,1/11/2017,1/11/2021,Pinellas,41,3,8,M-F,8:30 - 3:30,Accredited Program,,accredited_program,18-Mar-05
The Goddard School - Gilbert III,,,,5dfaa4f4e79c695b3b30de7c,Crystal Bragg,4080 E. Germann Road,Gilbert,AZ,85297,US,dgilbert3az@goddardschools.com,480-988-0185,www.goddardschool.com/,4/30/2018,4/30/2020,4/27/2016,4/27/2020,Maricopa,184,9,22,M-F,6:30 - 6:30,Accredited Program,,accredited_program,3-Sep-10
KinderCare Learning Center #301165,,,,5dfaa4f4e79c695b3b30de7d,Crystal Davidson,2300 S. Huron Pkwy.,Ann Arbor,MI,48104,US,301165@kindercare.com,734-971-6626,www.kindercare.com/,10/14/2018,10/14/2020,10/14/2016,10/14/2020,Washtenaw,109,5,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,29-Feb-08
KinderCare Learning Center #300999,,,,5dfaa4f4e79c695b3b30de7e,Crystal Kyser,55 S. Cleveland Ave.,Westerville,OH,43081,US,300999@kindercare.com;ckyser@kindercare.com,614-899-0026,www.kindercare.com/,9/9/2016,9/9/2018,8/16/2018,8/16/2022,Delaware,122,6,10,M-F,6:30-6:00,Accredited Program,,accredited_program,3-May-10
Big Blue Bird Early Childhood Center,,,,5dfaa4f4e79c695b3b30de7f,Crystal Neal,1945 Eastland Pkwy.,Lexington,KY,40505,US,bigbluebird@bigbluebirdlex.com,859-299-9277,www.bigbluebirdlex.com,5/28/2019,5/28/2021,5/29/2017,5/29/2021,Fayette,270,16,37,M-F,6:30 - 6:00,Accredited Program,,accredited_program,18-Jul-07
Deerwood Academy St. Johns,,,,5dfaa4f4e79c695b3b30de80,Crystal Wilkinson,990 Flora Branch Blvd.,Fruit Cove,FL,32259,US,crystal@theajc.net,904-230-8200,www.theacademyatjulingtoncreek.com,11/13/2018,11/13/2020,12/5/2016,12/5/2020,St Johns,322,14,33,M-F,6:30 - 6:30,Accredited Program,,accredited_program,8-Apr-13
Magical Moments Daycare Center,,,,5dfaa4f4e79c695b3b30de81,Cynthia Andrews,4328 Wilbarger St.,Fort Worth,TX,76119,US,mmdaycarecenter@yahoo.com,817-535-5885,www.magicalmoments.net,3/27/2019,3/27/2021,5/15/2017,5/15/2021,Tarrant,78,4,8,M-F,6:00 - 6:00,Accredited Program,,accredited_program,28-Dec-12
"Sunflower Preschool, Ltd.",,,,5dfaa4f4e79c695b3b30de82,Dagmar Stewart,1080 Berrum Lane,Reno,NV,89509,US,snflwer@nvbell.net,775-826-0977,www.sunflowerpreschoolreno.com,12/18/2017,12/18/2019,7/31/2019,7/31/2023,Washoe,50,3,10,M-F,7:30 - 5:30,Accredited Program,,accredited_program,13-Nov-06
St. Timothy Catholic Early Childhood Learning Ctr.,,,,5dfaa4f4e79c695b3b30de83,Daisy Cintron,17512 Lakeshore Road,Lutz,FL,33558,US,preschool@sainttims.org,813-960-4857,sttimspreschool.com,6/5/2018,6/5/2020,6/30/2016,6/30/2020,Hillsborough,84,5,13,M-F,8:00 - 3:00,Accredited Program,,accredited_program,16-Sep-08
RCMA South Dade Child Development Center,,,,5dfaa4f4e79c695b3b30de84,Damarys Ramos,"13600 SW 312 St., Bldg. # C",Homestead,FL,33033,US,damarys@rcma.org,305-242-2575,www.rcma.net/locations/,1/9/2017,1/9/2019,10/16/2018,10/16/2022,Miami-Dade,300,17,47,M-F,7:00 - 5:30,Accredited Program,,accredited_program,9-May-07
Concordia Learning Center,,,,5dfaa4f4e79c695b3b30de85,Dana Batts,5702 N. Jupiter,Garland,TX,75044,US,concordialc@concordiatx.org,972-495-7839,concordialearningcenter.org/,12/10/2018,12/10/2020,12/14/2016,12/14/2020,Dallas,55,5,8,M-F,7:00 - 6:00,Accredited Program,,accredited_program,22-Oct-07
RAF Croughton Child Development Center & School Age Program,,,,5dfaa4f4e79c695b3b30de86,Dana West,"422 ABS / FSAC, Unit 4647, Bldg. 150",APO,,9494,,dana.west@us.af.mil,011-441-280708420,,10/29/2018,10/29/2020,11/1/2016,11/1/2020,Dept. of Defense; England,48,5,14,M-F,7:00 - 5:30,Accredited Program,,accredited_program,14-Oct-09
Primary Learning Academy,,,,5dfaa4f4e79c695b3b30de87,Daniel Calzadilla and Grecia Tovar,23080 Sandalfoot Plaza Drive,Boca Raton,FL,33428,US,preschool23080@hotmail.com;primarylearningplaceboca@gmail.com,561-482-3772,,5/30/2017,5/30/2019,10/10/2019,10/10/2023,Broward,134,6,16,M-F,7:00 - 6:00,Accredited Program,,accredited_program,1-Jun-17
Oakland Academy,,,,5dfaa4f4e79c695b3b30de88,Daniel Calzadilla and Kelly Huddleson,8250 W. Oakland Park Blvd.,Sunrise,FL,33351,US,dcalzadilla0212@hotmail.com;oacademy@yahoo.com,954-749-0662,oaklandacademy.com/,9/29/2017,9/29/2019,4/18/2019,4/18/2023,Broward,124,7,20,M-F,6:45 - 6:30,Accredited Program,,accredited_program,18-Jun-07
All About Learning - Main Street,,,,5dfaa4f4e79c695b3b30de89,Danielle Chladek,N87 W15105 Main Street,Menomonee Falls,WI,53051,US,mainstreet@aalchildcare.com,262-437-0900,aalchildcare.com/mainstreet.html,2/6/2017,2/6/2019,12/10/2018,12/10/2022,Waukesha,105,8,12,M-F,5:45 - 6:15,Accredited Program,,accredited_program,22-Feb-06
KinderCare Learning Center #301730,,,,5dfaa4f4e79c695b3b30de8a,Danielle Fernandez,7965 W. 175th St.,Tinley Park,IL,60477,US,301730@kindercare.com,708-532-2466,www.kindercare.com/,10/13/2017,10/13/2019,10/10/2019,10/10/2023,Cook,168,10,22,M-F,6:15 - 6:30,Accredited Program,,accredited_program,15-Apr-05
KinderCare Learning Center #300354,,,,5dfaa4f4e79c695b3b30de8b,Danielle Hayes Countee,1118 S.E. Maynard Road,Cary,NC,27511,US,300354@kindercare.com;carytownekindercare@kindercare.com,919-469-0866,www.kindercare.com/,12/23/2019,12/23/2021,12/27/2017,12/27/2021,Wake,99,6,12,M-F,6:30 - 6:30,Accredited Program,,accredited_program,30-Jul-09
KinderCare Learning Center #000632,,,,5dfaa4f4e79c695b3b30de8c,Danielle Holmes,6037 E. McDowell Road,Mesa,AZ,85215,US,000632@kindercare.com,480-396-2060,www.kindercare.com/,1/4/2016,1/4/2018,9/7/2017,9/7/2021,Maricopa,147,6,12,M-F,6:00-6:30,Accredited Program,,accredited_program,12-Feb-10
KinderCare Learning Center #301822,,,,5dfaa4f4e79c695b3b30de8d,Danielle Jackson,15630 W. Van Buren St.,Goodyear,AZ,85338,US,301822@klcorp.com,623-882-0870,www.kindercare.com/,9/15/2016,9/15/2018,4/25/2018,4/25/2022,Maricopa,156,9,19,M-F,6:00-6:30,Accredited Program,,accredited_program,15-Dec-09
River Road Church Preschool Development Center,,,,5dfaa4f4e79c695b3b30de8e,Danielle Simone,8000 River Road,Richmond,VA,23229,US,daniellesimone@riverroadpreschool.org,804-282-4368,www.riverroadpreschool.org/,2/25/2019,2/25/2021,2/10/2017,2/10/2021,Henrico,176,11,36,M-F,7:30 - 4:00,Accredited Program,,accredited_program,13-Aug-02
UC Merced Early Childhood Education Center,,,,5dfaa4f4e79c695b3b30de8f,Danielle Waite,5200 N. Lake Road,Merced,CA,95340,US,ecec@ucmerced.edu,209-228-5437,ecec.ucmerced.edu,2/20/2018,2/20/2020,11/27/2019,11/27/2023,Merced,87,6,16,M-F,7:30 - 5:30,Accredited Program,,accredited_program,10-Aug-10
KinderCare Learning Center #301002,,,,5dfaa4f4e79c695b3b30de90,Danielle Weck,2605 Black Road,Joliet,IL,60435,US,301002@klcorp.com;joliet@kindercare.com,815-729-2110,www.kindercare.com/,11/7/2019,11/7/2021,11/7/2017,11/7/2021,Will,121,7,22,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Mar-08
Chapelwood School for Young Children,,,,5dfaa4f4e79c695b3b30de91,David Walker,11140 Greenbay St.,Houston,TX,77024,US,dwalker@chapelwoodschool.org,713-465-4657,chapelwoodschool.org/,10/15/2018,10/15/2020,10/13/2016,10/13/2020,Harris,425,28,56,M-F,9:00 - 2:00,Accredited Program,,accredited_program,9-Jul-09
KinderCare Learning Center #301629,,,,5dfaa4f4e79c695b3b30de92,Dawn Chapman,8001 Oak Lane,Miami Lakes,FL,33016,US,301629@kindercare.com,(305)821-5801,www.kindercare.com/,1/26/2018,1/26/2020,2/24/2016,2/24/2020,Miami-Dade,192,10,19,M-F,7:00 - 6:30,Accredited Program,,accredited_program,31-Dec-04
Bright Horizons at Longacres,,,,5dfaa4f4e79c695b3b30de93,Dawn Kim,1900 Oakesdale Ave. S.W.,Renton,WA,98057,US,longacres@brighthorizons.com,425-793-5913,,7/29/2016,7/29/2018,4/19/2019,4/19/2023,King,208,16,60,M-F,7:00 - 6:00,Accredited Program,,accredited_program,9-Aug-16
KinderCare Learning Center #000421,,,,5dfaa4f5e79c695b3b30de94,Dawn Richardson,38880 West 6 Mile Rd,Livonia,MI,48152,US,000421@klcorp.com,734-591-2083,www.kindercare.com/,5/25/2016,5/25/2018,1/3/2018,1/3/2022,Wayne,103,7,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,30-Nov-07
KinderCare Learning Center #301368,,,,5dfaa4f5e79c695b3b30de95,DeAnna Sherpan,27 W. 151 Geneva Road,Winfield,IL,60190,US,301368@kindercare.com,630-690-6116,www.kindercare.com/,11/8/2016,11/8/2018,10/10/2018,10/10/2022,Du Page,96,7,13,M-F,6-Jun,Accredited Program,,accredited_program,20-Nov-09
KinderCare Learning Center #301020,,,,5dfaa4f5e79c695b3b30de96,Debbie Darst,55 Catalina Isle Drive,Merritt Island,FL,32953,US,301020@kindercare.com,321-453-3473,www.kindercare.com/,1/24/2019,1/24/2021,10/24/2016,10/24/2020,Brevard,135,7,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,14-Dec-04
KinderCare Learning Center #301179,,,,5dfaa4f5e79c695b3b30de97,Debbie Lipka,780 S. Schoenbeck Road,Arlington Heights,IL,60004,US,301179@klcorp.com;dlipka@kindercare.com,847-459-9231,www.kindercare.com/,7/27/2019,7/27/2021,7/26/2017,7/26/2021,Cook,105,7,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,31-Jan-05
Greater Horizons Academy,,,,5dfaa4f5e79c695b3b30de98,Debi Palmisano,5750 W. Oakland Park Blvd.,Lauderhill,FL,33313,US,ghapreschool@yahoo.com,954-486-6008,,1/11/2016,1/11/2018,2/22/2018,2/22/2022,Broward,172,9,18,M-F,6:30 - 6:00,Accredited Program,,accredited_program,10-Nov-08
Precious Little People,,,,5dfaa4f5e79c695b3b30de99,Delcy Rosario,6135 SW 18th St.,Miramar,FL,33023,US,preciouslittlepeople@hotmail.com,954-989-7320,,4/12/2018,4/12/2020,4/26/2016,4/26/2020,Broward,99,8,9,M-F,7:00 - 6:00,Accredited Program,,accredited_program,19-Feb-07
Creative Kids Learning Center,,,,5dfaa4f5e79c695b3b30de9a,Della Gallegos,7530 Forney Road,Dallas,TX,75227,US,oppie5278@aol.com;della.gallegos1@aol.com,214-388-4622,,5/30/2017,5/30/2019,5/15/2019,5/15/2023,Dallas,78,5,8,M-F,6:00 - 6:30,Accredited Program,,accredited_program,9-Jul-14
Bright Days Child Development Center,,,,5dfaa4f5e79c695b3b30de9b,Dellisa Ford-Edwards,706 Park Ave.,Newport,KY,41071,US,dedwards@brightoncenter.com;kfrodge@brightoncenter.com,859-491-8303,brightoncenter.com,7/19/2019,7/19/2021,7/21/2017,7/21/2021,Campbell,145,8,16,M-F,7:00 - 6:00,Accredited Program,,accredited_program,
Almost Home Academy II,,,,5dfaa4f5e79c695b3b30de9c,DelMarie Brands,1401 N. Main St.,Racine,WI,53402,US,almosthomeacademy@hotmail.com,262-456-0000,almosthomeacademy.com,5/16/2019,5/16/2021,5/29/2017,5/29/2021,Racine,91,7,15,M-F,5:00 - 12:00 a,Accredited Program,,accredited_program,
Almost Home Academy,,,,5dfaa4f5e79c695b3b30de9d,Delmarie Brands and Amanda Peterson,1760 22nd Ave.,Kenosha,WI,53140,US,almosthomeacademy@hotmail.com,262-551-8064,almosthomeacademy.com,5/16/2019,5/16/2021,5/29/2017,5/29/2021,Kenosha,113,8,19,M-F,5:30 am - 12:00 am,Accredited Program,,accredited_program,5-Mar-10
